Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,02:22,03:54,12:11,16:28,20:19,21:41
2,02:21,03:53,12:11,16:29,20:20,21:41
3,02:21,03:52,12:12,16:29,20:21,21:42
4,02:21,03:52,12:12,16:30,20:22,21:43
5,02:20,03:51,12:12,16:30,20:23,21:43
6,02:20,03:50,12:12,16:31,20:24,21:44
7,02:20,03:50,12:12,16:31,20:25,21:45
8,02:20,03:49,12:12,16:31,20:25,21:45
9,02:19,03:49,12:13,16:32,20:26,21:46
10,02:19,03:49,12:13,16:32,20:27,21:47
11,02:19,03:48,12:13,16:33,20:28,21:47
12,02:19,03:48,12:13,16:33,20:28,21:48
13,02:19,03:48,12:13,16:33,20:29,21:48
14,02:19,03:48,12:14,16:34,20:30,21:49
15,02:19,03:47,12:14,16:34,20:30,21:49
16,02:19,03:47,12:14,16:34,20:31,21:49
17,02:19,03:47,12:14,16:35,20:31,21:50
18,02:19,03:47,12:15,16:35,20:32,21:50
19,02:19,03:47,12:15,16:35,20:32,21:50
20,02:19,03:48,12:15,16:35,20:32,21:51
21,02:20,03:48,12:15,16:36,20:33,21:51
22,02:20,03:48,12:15,16:36,20:33,21:51
23,02:20,03:48,12:16,16:36,20:33,21:51
24,02:20,03:48,12:16,16:36,20:33,21:51
25,02:21,03:49,12:16,16:36,20:33,21:52
26,02:21,03:49,12:16,16:37,20:33,21:52
27,02:21,03:50,12:16,16:37,20:33,21:52
28,02:22,03:50,12:17,16:37,20:33,21:52
29,02:22,03:51,12:17,16:37,20:33,21:52
30,02:23,03:51,12:17,16:37,20:33,21:52
